Id,Title,Category,Location_Address,Location_City,Location_Venue,Event_Start,Full_Address,Latitude,Longitude
489,Ocean Walker + Jet ski + Tubing ( rolling donut) by Bali Best Adventure,Olahraga,"Sobek Rafting Finish Point, Jalan Raya Kedewatan I, Kedewatan, Gianyar Regency, Bali, Indonesia, Ubud, Gianyar, Bali, Indonesia",Bali,Sobek Adventure Rafting (Finish Point Sobek Rafting Ayung),06-Jun-24,"Sobek Rafting Finish Point, Jalan Raya Kedewatan I, Kedewatan, Gianyar Regency, Bali, Indonesia, Ubud, Gianyar, Bali, Indonesia, Bali, Indonesia","-8,4901758","115,246603"
490,Ocean Walker + Fly Fish + Banana Boat by Bali Best Adventure,Olahraga,"Jl. Pantai Kuta No.18, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",Bali,Pantai Kuta,04-Jun-24,"Jl. Pantai Kuta No.18, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Bali, Indonesia","-8,7223181","115,1755004"
491,"Diving, Jet Ski, and Banana Boat by Bali Best Adventure",Olahraga,"Jl. Pratama No.70, Benoa, Nusa Dua, Kabupaten Badung, Bali 80361",Bali,Taman Bhagawan,12-Jun-24,"Jl. Pratama No.70, Benoa, Nusa Dua, Kabupaten Badung, Bali 80361, Bali, Indonesia","-8,7746064","115,2235367"
492,Parasailing Adventure by Bali Best Adventure,Olahraga,"Jl. Pratama, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363",Bali,Benoa,02-Feb-24,"Jl. Pratama, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Bali, Indonesia","-8,7771293","115,2235207"
493,Snorkeling by Bali Best Adventure,Olahraga,"Jl. Dewi Saraswati No.50, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Bali,Stella House,25-Jun-24,"Jl. Dewi Saraswati No.50, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Bali, Indonesia","-8,6819129","115,1713382"
494,Tubing by Bali Best Adventure,Olahraga,"Jl. By Pass Ngurah Rai Tohpati No.90, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",Bali,Pass Ngurah Rai Tohpati,09-Sep-24,"Jl. By Pass Ngurah Rai Tohpati No.90, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Bali, Indonesia","-8,6454412","115,2568323"
495,Fly Boarding by Bali Best Adventure,Olahraga,"Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",Bali,Jalan Pantai Kuta,09-Dec-24,"Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Bali, Indonesia","-8,7165085","115,1685333"
496,Ocean Walker by Bali Best Adventure,Olahraga,"JL Pratama tanjung Benoa, Tanjung Benoa, Benoa, South Kuta, Badung Regency, Bali 80361",Bali,BENOA,30-Sep-24,"JL Pratama tanjung Benoa, Tanjung Benoa, Benoa, South Kuta, Badung Regency, Bali 80361, Bali, Indonesia","-8,7771293","115,2235207"
497,Fly Fish by Bali Best Adventure,Olahraga,"Tanjung Benoa Beach, Tanjung Benoa Village, South Kuta District, Badung Regency, Bali",Bali,Tanjung Benoa Beach,11-May-24,"Tanjung Benoa Beach, Tanjung Benoa Village, South Kuta District, Badung Regency, Bali, Bali, Indonesia","-8,7564753","115,2221797"
498,Jet Ski by Bali Best Adventure,Olahraga,"Jl. Padma No.33A, Blok Panin, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",Bali,Balisani Padma Hotel,01-Aug-24,"Jl. Padma No.33A, Blok Panin, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Bali, Indonesia","-8,7060387","115,168938"
499,Banana Boat by Bali Best Adventure,Olahraga,"Benoa, South Kuta, Badung Regency, Bali",Bali,Balisani Padma Hotel,03-Sep-24,"Benoa, South Kuta, Badung Regency, Bali, Bali, Indonesia","-8,7815919","115,1787738"
500,"Fly Boarding, Banana Boat, Jet ski by Bali Best Adventure",Olahraga,"Benoa, South Kuta, Badung Regency, Bali",Bali,Balisani Padma Hotel,14-Jun-24,"Benoa, South Kuta, Badung Regency, Bali, Bali, Indonesia","-8,7815919","115,1787738"
501,"Snorkeling, Glass Bottom boat, Pulau Penyu by Bali Best Adventure",Olahraga,"Tanjung Benoa, South Kuta, Badung Regency, Bali",Bali,Tanjung Benoa,03-Oct-24,"Tanjung Benoa, South Kuta, Badung Regency, Bali, Bali, Indonesia","-8,7586798","115,2143892"
502,"Ocean walker, Jet Ski, Banana Boat, Glass Bottom, Pulau Penyu by Bali Best Adventure",Olahraga,"JL Pratama tanjung Benoa, Tanjung Benoa, Benoa, South Kuta, Badung Regency, Bali 80361",Bali,Tanjung Benoa,14-Jun-25,"JL Pratama tanjung Benoa, Tanjung Benoa, Benoa, South Kuta, Badung Regency, Bali 80361, Bali, Indonesia","-8,7771293","115,2235207"
503,"Jet Ski, Parasailing Adventure, Banana Boat, Glass Bottom, Pulau Penyu by Bali Best Adventure",Olahraga,"Benoa, South Kuta, Badung Regency, Bali",Bali,Tanjung Benoa,03-Nov-24,"Benoa, South Kuta, Badung Regency, Bali, Bali, Indonesia","-8,7815919","115,1787738"
504,"Fly Fish, Banana Boat, Jet ski, Parasailing Adventure by Bali Best Adventure",Olahraga,"Kuta Selatan, Badung, Bali, Indonesia",Bali,Tanjung Benoa,14-Jun-26,"Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,798049","115,1608275"
505,"Jet Ski, Parasailing Adventure, Banana Boat by Bali Best Adventure",Olahraga,"Kuta Selatan, Badung, Bali, Indonesia",Bali,Tanjung Benoa,03-Dec-24,"Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,798049","115,1608275"
506,Glass bottom boat & Pulau Penyu by Bali Best Adventure,Olahraga,"Tanjung Benoa, South Kuta, Badung Regency, Bali",Bali,Tanjung Benoa,14-Jun-27,"Tanjung Benoa, South Kuta, Badung Regency, Bali, Bali, Indonesia","-8,7586798","115,2143892"
507,Wahana ATV Ride Bali by Bali Best Adventure,Olahraga,"Jl. Kalangan Kb. No.12, Singapadu, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",Bali,Wahana Bali Adventure ATV,21-Jun-24,"Jl. Kalangan Kb. No.12, Singapadu, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Bali, Indonesia","-8,596971","115,2501293"
508,Paket Rafting Goa Jogja Pindul by Arowisata,Olahraga,"Kasi Trip PINDUL, Gunungbang, Bejiharjo, Gunung Kidul Regency, Special Region Of Yogyakarta, Indonesia, Karangmojo, Gunung Kidul, Provinsi Yogyakarta, Indonesia",Yogyakarta,Kasi Trip PINDUL,22-Jun-24,"Kasi Trip PINDUL, Gunungbang, Bejiharjo, Gunung Kidul Regency, Special Region Of Yogyakarta, Indonesia, Karangmojo, Gunung Kidul, Provinsi Yogyakarta, Indonesia, DI Yogyakarta, Indonesia","-7,9288644","110,6494156"
509,Paket Rafting Sungai Oya Gunung Kidul by Arowisata,Olahraga,"Oya River Rafting, Seropan, Bejiharjo, Gunung Kidul Regency, Special Region Of Yogyakarta, Indonesia, Karangmojo, Gunung Kidul, Provinsi Yogyakarta, Indonesia",Yogyakarta,Oya river rafting,23-Jun-24,"Oya River Rafting, Seropan, Bejiharjo, Gunung Kidul Regency, Special Region Of Yogyakarta, Indonesia, Karangmojo, Gunung Kidul, Provinsi Yogyakarta, Indonesia, DI Yogyakarta, Indonesia","-7,931078","110,6479172"
510,Tandem ATV by Bali Dwina Tour & Activity,Olahraga,"Sukawati, Gianyar, Bali, Indonesia",Bali,Sukawati,24-Jun-24,"Sukawati, Gianyar, Bali, Indonesia, Bali, Indonesia","-8,5962159","115,2828265"
511,Bali Tubing by Bali Dwina Tour & Activity,Olahraga,"Ubud, Gianyar, Bali, Indonesia",Bali,Ubud,25-Jun-24,"Ubud, Gianyar, Bali, Indonesia, Bali, Indonesia","-8,5091128","115,2710922"
512,Single ATV by Bali Dwina Tour & Activity,Olahraga,"Sukawati, Gianyar, Bali, Indonesia",Bali,Sukawati,26-Jun-24,"Sukawati, Gianyar, Bali, Indonesia, Bali, Indonesia","-8,5962159","115,2828265"
513,Arung Jeram di Ayung Ubud Bali by Bali Dwina Tour & Activity,Olahraga,"Ubud, Gianyar, Bali, Indonesia",Bali,Ubud,27-Jun-24,"Ubud, Gianyar, Bali, Indonesia, Bali, Indonesia","-8,5091128","115,2710922"
514,"Adventure parasailing, Banana boat, Roulette doughnut, Jet ski by TBWS",Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,28-Jun-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
515,"Banana boat, Jet ski, Fly fish, Seawalker by TBWS",Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,24-Jun-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
516,"Adventure parasailing, Banana Boat, Fly fish, Sea Walker by TBWS",Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,10-Dec-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
517,"Adventure parasailing, Banana Boat, Fly Fish, Scuba diving by TBWS",Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,01-May-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
518,"Turtle island in Glass bottom boat, Snorkeling by TBWS",Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,11-Sep-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
519,"Adventure parasailing, Banana boat, Jet ski, Scuba diving by TBWS",Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,12-Jun-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
520,"Adventure parasailing, Banana Boat, Jet Ski by TBWS",Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,12-Jun-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
521,Jetski tanpa instruktur BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,16-Dec-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
522,Flyboard BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,18-May-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
523,Parasailing adventure BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,03-Nov-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
524,Seawalker BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,22-Oct-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
525,Flyfish BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,01-May-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
526,Scuba diving BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,27-Dec-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
527,Turtle Island BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,11-Sep-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
528,Wakeboard BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,03-May-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
529,Jetski with instructor BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,29-May-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
530,Snorkeling BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,10-Dec-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
531,Donut BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,16-Jul-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
532,Banana Boat BY TBWS,Olahraga,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia",Bali,Bali Dolpin Water,05-Aug-24,"Jl. Segara Lor No.20, Tj. Benoa, Nuda Dua, Kabupaten Badung, Bali 80361, Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,7536006","115,2196396"
533,Paket Tur Ubud Rafting & Swing by Ubud Sunrise Hiking,Olahraga,"Kintamani, Bangli, Bali, Indonesia",Bali,Kintamani,01-May-24,"Kintamani, Bangli, Bali, Indonesia, Bali, Indonesia","-8,259093","115,3374441"
534,Rafting sungai elo - magelang by Arowisata,Olahraga,"Danurejan, Yogyakarta, Provinsi Yogyakarta, Indonesia",Yogyakarta,Danurejan,25-Dec-24,"Danurejan, Yogyakarta, Provinsi Yogyakarta, Indonesia, DI Yogyakarta, Indonesia","-7,7932901","110,3696069"
535,ATV by Wahana Bali Adventure ATV,Olahraga,"Jl. Kalangan Kb. No.12, Singapadu, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Sukawati, Gianyar, Bali, Indonesia",Bali,WAHANA BALI ADVENTURE,22-Sep-24,"Jl. Kalangan Kb. No.12, Singapadu, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Sukawati, Gianyar, Bali, Indonesia, Bali, Indonesia","-8,596971","115,2501293"
536,Private Surf Lessons In Bali,Olahraga,"Badung, Bali, Indonesia",Bali,WAHANA BALI ADVENTURE,12-Nov-24,"Badung, Bali, Indonesia, Bali, Indonesia","-8,5819296","115,1770586"
537,3-Day Freediving Level 1 Course,Olahraga,"Klungkung, Bali, Indonesia",Bali,WAHANA BALI ADVENTURE,07-Dec-24,"Klungkung, Bali, Indonesia, Bali, Indonesia","-8,5388252","115,402367"
538,Bali Watersport at Tanjung Benoa,Olahraga,"Badung, Bali, Indonesia",Bali,WAHANA BALI ADVENTURE,03-Oct-24,"Badung, Bali, Indonesia, Bali, Indonesia","-8,5819296","115,1770586"
539,The best surf lessons in Kuta,Olahraga,"Badung, Bali, Indonesia",Bali,WAHANA BALI ADVENTURE,05-May-24,"Badung, Bali, Indonesia, Bali, Indonesia","-8,5819296","115,1770586"
540,Paket Rafting & ATV Ride All Inclusive by Bali Best Adventure,Olahraga,"Ubud, Gianyar, Bali, Indonesia",Bali,Ubud,05-Oct-24,"Ubud, Gianyar, Bali, Indonesia, Bali, Indonesia","-8,5091128","115,2710922"
541,Rafting di Sungai Ayung - Ubud by Bali Best Adventure,Olahraga,"Denpasar Timur, Denpasar, Bali, Indonesia",Bali,Ubud,16-Dec-24,"Denpasar Timur, Denpasar, Bali, Indonesia, Bali, Indonesia","-8,6462763","115,2451298"
542,Offroad Gumuk Pasir by Go Explore,Olahraga,"Kretek, Bantul, Provinsi Yogyakarta, Indonesia",Yogyakarta,Kretek Bantul,12-Nov-24,"Kretek, Bantul, Provinsi Yogyakarta, Indonesia, DI Yogyakarta, Indonesia","-7,9918683","110,3003782"
543,Offroad Nglinggo Jogja by Go Explore,Olahraga,"Samigaluh, Kulon Progo, Provinsi Yogyakarta, Indonesia",Yogyakarta,Samigaluh Kulon Progo,01-Aug-24,"Samigaluh, Kulon Progo, Provinsi Yogyakarta, Indonesia, DI Yogyakarta, Indonesia","-7,6740637","110,1344985"
544,Fun Offroad Pangandaran by Go Explore,Olahraga,"Pangandaran, Pangandaran, Jawa Barat, Indonesia",Pangandaran,Pangandaran,14-Jun-24,"Pangandaran, Pangandaran, Jawa Barat, Indonesia, Pangandaran, Indonesia","-7,692535","108,657961"
545,Rafting Citatih Sukabumi by Go Explore,Olahraga,"Sungai Citatih Sukabumi, Cikembar, Sukabumi, Jawa Barat, Indonesia",Sukabumi,Sungai Citatih Sukabumi,16-Oct-24,"Sungai Citatih Sukabumi, Cikembar, Sukabumi, Jawa Barat, Indonesia, Sukabumi, Indonesia","-6,9277361","106,9299579"
546,Rafting Cisadane Bogor by Go Explore,Olahraga,"Cisadane River Bogor, Ciomas, Bogor, Jawa Barat, Indonesia",Bogor,Cisadane River Bogor,26-Sep-24,"Cisadane River Bogor, Ciomas, Bogor, Jawa Barat, Indonesia, Bogor, Indonesia","-6,506793352","106,7028307"
547,Rafting Pekalen Probolinggo by GO EXPLORE,Olahraga,"Tiris, Probolinggo, Jawa Timur, Indonesia",Probolinggo,Probolinggo,24-Sep-24,"Tiris, Probolinggo, Jawa Timur, Indonesia, Probolinggo, Indonesia","-7,9632504","113,4011246"
548,Fun Offroad Cikole Lembang Bandung by GO EXPLORE,Olahraga,"Lembang, Bandung, Jawa Barat, Indonesia",Bandung,Lembang Jawa Barat,08-Jul-24,"Lembang, Bandung, Jawa Barat, Indonesia, Bandung, Indonesia","-6,8145886","107,6230567"
549,Fun Offroad Ciwidey Bandung by GO EXPLORE,Olahraga,"Ciwidey, Bandung, Jawa Barat, Indonesia",Bandung,ATV Adventure Indonesia ,03-Jul-24,"Ciwidey, Bandung, Jawa Barat, Indonesia, Bandung, Indonesia","-6,9984712","107,5533684"
550,Fun Offroad Cisarua Puncak Bogor by Go Explore,Olahraga,"Cisarua, Bogor, Jawa Barat, Indonesia",Bogor,Cisarua Bogor,30-Aug-24,"Cisarua, Bogor, Jawa Barat, Indonesia, Bogo, Indonesia","-6,6874212","106,9400229"
551,Airsoftgun Shooting Target by ATV Adventure Indonesia Setu,Olahraga,"Jl. Raya Setu No.1 RT 5/1 , Setu, Cipayung, Jakarta Timur, DKI Jakarta, Indonesia, Cipayung, Jakarta Timur, Jakarta, Indonesia",Jakarta,Jljakar,10-Sep-24,"Jl. Raya Setu No.1 RT 5/1 , Setu, Cipayung, Jakarta Timur, DKI Jakarta, Indonesia, Cipayung, Jakarta Timur, Jakarta, Indonesia, Jakarta, Indonesia","-6,3074033","106,9155225"
552,Archery by ATV Adventure Indonesia Setu,Olahraga,"Jl. Raya Setu No.1 RT 5/1 , Setu, Cipayung, Jakarta Timur, DKI Jakarta, Indonesia, Cipayung, Jakarta Timur, Jakarta, Indonesia",Jakarta,Jljakar,13-May-24,"Jl. Raya Setu No.1 RT 5/1 , Setu, Cipayung, Jakarta Timur, DKI Jakarta, Indonesia, Cipayung, Jakarta Timur, Jakarta, Indonesia, Jakarta, Indonesia","-6,3074033","106,9155225"
553,Epic Skatepark,Olahraga,"EPIC Skatepark, Baywalk Mall, Jalan Pluit Karang Ayu 1, Pluit, North Jakarta City, Jakarta, Indonesia, Penjaringan, Jakarta Utara, Jakarta, Indonesia",Jakarta,EPjakar,25-Jul-24,"EPIC Skatepark, Baywalk Mall, Jalan Pluit Karang Ayu 1, Pluit, North Jakarta City, Jakarta, Indonesia, Penjaringan, Jakarta Utara, Jakarta, Indonesia, Jakarta, Indonesia","-6,1078013","106,7790327"
554,The Spa at Soulshine Ubud Bali,Olahraga,"Ubud, Gianyar, Bali, Indonesia",Bali,Ubud,15-Nov-24,"Ubud, Gianyar, Bali, Indonesia, Bali, Indonesia","-8,5091128","115,2710922"
555,Ultimate Tulamben Wreck & Macro 9-Dives package with PADI 5* center,Olahraga,"Kubu, Karangasem, Bali, Indonesia",Bali,Kubu Bali,07-Jul-24,"Kubu, Karangasem, Bali, Indonesia, Bali, Indonesia","-8,2016214","115,5014607"
556,Underwater Exploration of Lembongan & Nusa Penida with PADI 5*Center,Olahraga,"Nusa Lembongan, Klungkung, Bali, Indonesia",Bali,Nusa Lembongan,15-Jul-24,"Nusa Lembongan, Klungkung, Bali, Indonesia, Bali, Indonesia","-8,6785828","115,4555858"
557,Sunrise Diving Delight at Nusa Penida: PADI 5* Dive Center,Olahraga,"Nusa Lembongan, Klungkung, Bali, Indonesia",Bali,Nusa Lembongan,26-Aug-24,"Nusa Lembongan, Klungkung, Bali, Indonesia, Bali, Indonesia","-8,6785828","115,4555858"
558,"Love wrecks, love diving in Tulamben with PADI 5* center",Olahraga,"Denpasar Selatan, Denpasar, Bali, Indonesia",Bali,ATV Adventure Indonesia ,18-Jun-24,"Denpasar Selatan, Denpasar, Bali, Indonesia, Bali, Indonesia","-8,695291","115,2188009"
559,Unforgettable Tulamben diving - 2 dives with PADI 5* Center,Olahraga,"Kubu, Karangasem, Bali, Indonesia",Bali,ATV Adventure Indonesia ,18-Jun-24,"Kubu, Karangasem, Bali, Indonesia, Bali, Indonesia","-8,2016214","115,5014607"
560,Try Scuba Diving Experience in Sanur with PADI 5 Star Diving Center,Olahraga,"Kuta Selatan, Badung, Bali, Indonesia",Bali,Kuta Selatan,20-Jul-24,"Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,798049","115,1608275"
561,Dive into Menjangan's Beauty: Full Day Exploration with PADI Center,Olahraga,"Denpasar Selatan, Denpasar, Bali, Indonesia",Bali,Denpasar Selatan,10-Jun-24,"Denpasar Selatan, Denpasar, Bali, Indonesia, Bali, Indonesia","-8,695291","115,2188009"
562,Master Komodo's Depths: Advanced Diver Course with PADI 5* Center,Olahraga,"Komodo, Manggarai Barat, Nusa Tenggara Timur, Indonesia",Nusa Tenggara Barat,Manggarai Barat,22-Dec-24,"Komodo, Manggarai Barat, Nusa Tenggara Timur, Indonesia, Nusa Tenggara Barat, Indonesia","-8,4925531","119,8773157"
563,Dive Longer: Nitrox Course in Amed with PADI 5 Star Dive Center,Olahraga,"Abang, Karangasem, Bali, Indonesia",Bali,Denpasar Selatan,22-Sep-24,"Abang, Karangasem, Bali, Indonesia, Bali, Indonesia","-8,3447043","115,6142259"
564,Dive into Padangbai's Beauty: Discover Scuba with PADI 5* Center,Olahraga,"Manggis, Karangasem, Bali, Indonesia",Bali,"ManggisKec. Manggis, Kabupaten Karangasem, Bali",06-Oct-24,"Manggis, Karangasem, Bali, Indonesia, Bali, Indonesia","-8,5312452","115,5061722"
565,Canoeing Experience in Tanjung Benoa Bali,Olahraga,"Kuta, Badung, Bali, Indonesia",Bali,Kuta Selatan,24-Sep-24,"Kuta, Badung, Bali, Indonesia, Bali, Indonesia","-8,7223957","115,1767095"
566,Bali Gift Spa Experience in Seminyak,Olahraga,"Kuta Utara, Badung, Bali, Indonesia",Bali,Pantai Batu Bolong,12-Nov-24,"Kuta Utara, Badung, Bali, Indonesia, Bali, Indonesia","-8,6299045","115,1755028"
567,Popular Spa and Yoga in Bali,Olahraga,"Kuta Utara, Badung, Bali, Indonesia",Bali,Pantai Batu Bolong,09-Aug-24,"Kuta Utara, Badung, Bali, Indonesia, Bali, Indonesia","-8,6299045","115,1755028"
568,"Golf Pass at Handara Golf, New Kuta Golf, or Bali National Golf Club",Olahraga,"Kuta Selatan, Badung, Bali, Indonesia",Bali,Pura Luruh Ulu Watu,25-Oct-24,"Kuta Selatan, Badung, Bali, Indonesia, Bali, Indonesia","-8,798049","115,1608275"
569,Melah Spa in Seminyak Bali,Olahraga,"Kuta Utara, Badung, Bali, Indonesia",Bali,Pantai Batu Bolong,24-Jun-24,"Kuta Utara, Badung, Bali, Indonesia, Bali, Indonesia","-8,6299045","115,1755028"
570,Sunrise Cafe Hopping With Mount Batur ATV Quad Bike Or 4WD Jeep,Olahraga,"Kintamani, Bangli, Bali, Indonesia",Bali,Kode pos: 80652,09-Dec-24,"Kintamani, Bangli, Bali, Indonesia, Bali, Indonesia","-8,259093","115,3374441"
