Id,Title,Category,Location_Address,Location_City,Location_Venue,Event_Start,Full_Address,Latitude,Longitude
205,Markhyuck Cafe Event,Lainnya,"Ciputra World, Retail Podium lt.11-13, Jl. Prof. DR. Satrio No.1",Jakarta,Ciputra Artpreneur,03-Nov-24,"Ciputra World, Retail Podium lt.11-13, Jl. Prof. DR. Satrio No.1, DKI Jakarta, Indonesia","-6,2189198","106,819901"
206,Sunset 5K Trail Run,Olahraga,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede",Bali,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede",20-Jul-24,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede, Bali, Indonesia","-6,2553152","106,9253011"
207,Online Class | Master of Ceremony with Rizqiani Putri,Bisnis,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",Sidoarjo," Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",13-May-24,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256, Sidoarjo, Indonesia","-7,3463949","112,7527211"
208,Growbalization 2024: Sound of The Mighty Bhagawan,Musik,"Jl. Pantai Nyanyi, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Bali,Pantai Nyanyi Beraban,12-Sep-24,"Jl. Pantai Nyanyi, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121, Bali, Indonesia","-8,6206589","115,1059029"
209,TEDxAvicenna Cinere School - JUST YOLO,Lainnya,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat.",Jakarta,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat.",17-Jul-24,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat., DKI Jakarta, Indonesia","-6,3419648","106,7806842"
210,Dog Yoga with Beyond Bliss 18 May 2024,Lainnya,Summarecon Mall Kelapa Gading,Jakarta,Summarecon Mall Kelapa Gading,17-Jun-24,"Summarecon Mall Kelapa Gading, DKI Jakarta, Indonesia","-6,1572666","106,9084263"
211,Yoga Class,Olahraga,"Jl. Karang Mas, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Karang Mas Jimbaran,31-Dec-24,"Jl. Karang Mas, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Bali, Indonesia","-8,7911609","115,1542016"
212,HomeLife Expo (Indonesia),Lainnya,Springhill Office Tower 20th Floor,Jakarta,Springhill Office Tower 20th Floor,30-Nov-24,"Springhill Office Tower 20th Floor, DKI Jakarta, Indonesia","-6,1499217","106,8505817"
213,BEHAVIORAL EVENT INTERVIEW,Bisnis,"AXA Tower 45th Floor, CEO Suite, Jl. Prof. DR. Satrio Kav. 18, Jakarta Selatan",Jakarta,"AXA Tower 45th Floor, CEO Suite, Jl. Prof. DR. Satrio Kav. 18, Jakarta Selatan",14-Aug-24,"AXA Tower 45th Floor, CEO Suite, Jl. Prof. DR. Satrio Kav. 18, Jakarta Selatan, DKI Jakarta, Indonesia","-6,2248541","106,8289214"
214,Alcor Fest 2024,Bisnis,"Kota Kasablanka Mall Lantai 3 Jl. Casablanca Raya Kav. 88, RT.2/RW.14, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta,"Kota Kasablanka Mall Lantai 3 Jl. Casablanca Raya Kav. 88, RT.2/RW.14, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",14-Aug-24,"Kota Kasablanka Mall Lantai 3 Jl. Casablanca Raya Kav. 88, RT.2/RW.14, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, DKI Jakarta, Indonesia","-6,2614927","106,8105998"
